,Time,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
800,800,"10,4","0,082","0,08","0,99641","7,2",26,"3,25",5,4,"0,11","10,8","0,61"
801,801,17,"0,068","0,09","0,99735","8,6",8,"3,23",5,"3,3","0,24","1,7","0,55"
802,802,"20,9","0,044",0,"0,99264","5,1",14,"3,56",7,"1,7","0,14","94,6","0,585"
803,803,"12,6","0,114","0,08","0,9971","7,7",14,"3,24",6,"2,5","0,26","4,6","0,56"
804,804,"18,9","0,084","0,22","0,99682","8,4",4,"3,26",6,"2,7",0,"-34,2","0,52"
805,805,"18,8","0,052","0,4","0,99356","8,2",4,"3,33",7,"2,4","0,5",11,"0,28"
806,806,"21,5","0,041","0,39","0,99386","8,4",4,"3,27",7,2,"0,61",-9,"0,25"
807,807,"13,8","0,052","0,4","0,99356","8,2",4,"3,33",7,"2,4",0,-9,"0,28"
808,808,"14,2","0,165","0,12","0,99702","7,4",4,"3,26",5,"1,9","0,36","-22,8","0,53"
809,809,"19,3","0,07","0,31","0,99693","7,6",4,"3,22",6,"2,8","0,35","-13,5","0,48"
810,810,"18,5","0,068","0,1","0,99562","7,3",4,"3,3",5,"2,6",0,"-12,6","0,49"
811,811,"17,9","0,072","0,55","1,00012","12,9",7,"3,09",6,"2,8","0,38","-45,6","0,5"
812,812,"19,8","0,099","0,33","0,99818","10,8",20,"3,24",5,"2,5","0,11","-72,2","0,45"
813,813,"16,4","0,102","0,24","0,99462","6,9",4,"3,44",4,"2,1",0,"7,7","0,39"
814,814,"12,3","0,103","0,54","0,99939","12,6",19,"3,21",6,"2,8","0,36","4,1","0,41"
815,815,"14,8","0,099","0,33","0,99818","10,8",20,"3,24",5,"2,5","0,61","3,8","0,45"
816,816,"14,5","0,081","0,19","0,9984","9,8",8,"3,23",6,"3,2",0,-27,"0,51"
817,817,"15,9","0,084","0,42","0,99545","10,8",19,"3,28",6,"1,6","0,33","-24,3","0,29"
818,818,"10,4","0,071",0,"0,99632","7,1",21,"3,29",5,"2,35","0,15","-89,3","0,715"
819,819,"13,6","0,097","0,15","0,99976","9,1",9,"3,28",5,"3,2","0,14","64,9","0,66"
820,820,"18,7","0,099",0,"0,99606",7,9,"3,34",5,"1,9",0,"-19,8","0,685"
821,821,21,"0,048",0,"0,99154","4,9",16,"3,71",7,"2,1","0,04","-37,8","0,42"
822,822,"18,8","0,076","0,13","0,9973","6,7",15,"3,61",5,2,"0,44","39,6","0,54"
823,823,"11,8","0,076","0,13","0,9973","6,7",15,"3,61",5,2,"0,44","-68,4","0,54"
824,824,"17,3","0,068","0,28","0,99682","7,1",6,"3,24",5,"2,8","0,23","-30,4","0,48"
825,825,"15,7","0,076","0,14","0,99624","7,1",15,"3,36",5,"2,8","0,19","3,7","0,46"
826,826,19,"0,05","0,34","0,9951","7,5",4,"3,4",7,"2,3",0,"8,8","0,27"
827,827,"14,7","0,076","0,14","0,99624","7,1",15,"3,36",5,"2,8","0,39","-70,3","0,46"
828,828,"15,7","0,065","0,09","0,99417","7,8",34,"3,46",8,"2,3","0,64","-85,5","0,57"
829,829,"13,1","0,071","0,08","0,99376","5,9",16,"3,56",6,"2,1","0,67","-21,6","0,61"
830,830,"15,9","0,058","0,07","0,99632","7,5",5,"3,38",4,"2,5","0,05","0,9","0,685"
831,831,"20,1","0,071","0,08","0,99376","5,9",16,"3,56",6,"2,1","0,57","-21,6","0,61"
832,832,"10,9","0,145","0,42","0,99832","10,4",34,"3,38",3,"1,5","0,46","-91,2","0,44"
833,833,"11,9","0,147","0,44","0,99836","11,6",36,"3,38",4,"1,6","0,46","-45,9","0,47"
834,834,"13,4","0,088","0,26","0,99694","8,8",16,"3,32",5,"1,6","0,37","2,3","0,685"
835,835,"10,3","0,066","0,1","0,99655","7,6",27,"3,39",5,"1,5",0,"60,5","0,665"
836,836,"15,7","0,012","0,28","0,99064","6,7",36,"3,26",7,"2,4","0,29",110,"0,28"
837,837,"15,7","0,012","0,28","0,99064","6,7",36,"3,26",7,"2,4",0,110,"0,28"
838,838,"12,2","0,075","0,35","0,99672","10,1",9,"3,24",7,"1,6","0,73","-25,2","0,31"
839,839,16,"0,092","0,04","0,99647",6,13,"3,46",5,"2,2",0,"28,6","0,5"
840,840,"19,1","0,085","0,47","0,99736","11,1",9,"3,24",7,"2,65",0,"-64,6","0,42"
841,841,"14,3","0,115",0,"0,99629","6,6",21,"3,45",5,3,"0,03","-27,9","0,66"
842,842,"14,9","0,119","0,45","0,99708","10,6",34,"3,23",6,"2,6",0,"6,8","0,5"
843,843,"17,4","0,088","0,35","0,9963","7,1",9,"3,28",5,2,0,"-174,8","0,685"
844,844,"19,6","0,062","0,46","0,9959","9,9",26,"3,18",6,"1,7",0,"4,2","0,25"
845,845,"10,8","0,081","0,21","0,99689","6,4",14,"3,59",5,"1,8","0,16","-27,9","0,64"
846,846,"13,8","0,081","0,21","0,99689","6,4",14,"3,59",5,"1,8",0,"34,1","0,64"
847,847,"15,9","0,078","0,16","0,9977","7,4",12,"3,5",6,"1,8","0,6","3,9","0,68"
848,848,"12,8","0,081","0,21","0,99689","6,4",14,"3,59",5,"1,8","0,06","-27,9","0,64"
849,849,"10,8","0,08","0,21","0,99689","6,4",12,"3,58",5,"1,6",0,"-28,8","0,63"
