,Time,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
650,650,"10,6","0,106","0,39","0,9986","10,7",8,"2,89",5,"2,2",0,"-28,8","0,43"
651,651,"15,2","0,104","0,25","1,001","9,8",35,"3,41",5,"2,5",0,"15,5","0,88"
652,652,"17,9","0,096","0,65","0,9976","15,9",22,"2,98",5,"7,5",0,"7,1","0,36"
653,653,16,"0,079","0,59","0,9976","9,4",9,"3,12",6,"2,8",0,3,"0,33"
654,654,"16,5","0,074","0,47","0,9979","8,6",7,"3,08",5,"2,4","0,16","31,9","0,47"
655,655,"18,4","0,087","0,17","1,0004","9,7",20,"3,14",5,"2,9","0,31","5,3","0,55"
656,656,"17,6","0,106","0,39","0,9986","10,7",8,"2,89",5,"2,2",0,"-28,8","0,43"
657,657,"12,5","0,073","0,59","0,998",12,23,"2,92",7,"1,4",0,"-37,8","0,5"
658,658,"15,6","0,074","0,07","0,9973","7,2",5,"3,32",6,"1,4","0,21",-38,"0,52"
659,659,12,"0,096","0,02","0,997","7,1",5,"3,41",4,"4,4","0,17","14,3","0,84"
660,660,"12,6","0,074","0,07","0,9973","7,2",5,"3,32",6,"1,4","0,01",-38,"0,52"
661,661,13,"0,08","0,31","0,9978","7,5",15,"3,31",5,"1,6","0,04","46,2","0,42"
662,662,"11,6","0,076","0,06","0,9972","7,2",9,"3,36",6,"1,6","0,6","2,7","0,57"
663,663,"12,2","0,05","0,46","0,9974","10,1",5,"3,04",6,"1,8","0,69","-24,7","0,28"
664,664,"14,2","0,092","0,52",1,"12,1",15,"3,03",5,2,"0,46","-102,6","0,4"
665,665,"13,7","0,084","0,14","0,9981","9,4",25,"3,14",5,2,"0,16","4,8","0,59"
666,666,"10,5","0,222","0,36","0,998","8,3",6,"3,18",6,"1,8",0,"-14,4","0,49"
667,667,"16,2","0,082","0,45","0,9988","11,3",6,"2,94",6,2,0,"16,5","0,34"
668,668,16,"0,059","0,43","0,9966",10,15,"3,15",5,"2,3","0,17","-58,9","0,73"
669,669,"18,2","0,082","0,45","0,9988","11,3",6,"2,94",6,2,0,"-28,5","0,34"
670,670,13,"0,083","0,24","0,9959","6,9",30,"3,26",5,"2,5",0,"49,5","0,4"
671,671,"16,5","0,074","0,21","0,9968","8,2",5,"3,2",5,"1,7",0,"-11,7","0,73"
672,672,"15,5","0,079","0,34","0,998","9,8",32,"3,15",5,2,0,"166,1","1,24"
673,673,"18,5","0,074","0,21","0,9968","8,2",5,"3,2",5,"1,7",0,"-11,7","0,73"
674,674,"14,3","0,084","0,41","0,9984","10,8",7,"3,08",6,"2,2","0,57","-15,3","0,4"
675,675,"12,2","0,064","0,39","0,9984","9,3",12,"3,26",5,"2,2","0,45","34,1","0,41"
676,676,"10,3","0,084","0,41","0,9984","10,8",7,"3,08",6,"2,2","0,17","18,7","0,4"
677,677,"10,9","0,084","0,11","0,9979","8,6",12,"3,4",5,"2,3","0,28","-27,9","0,8"
678,678,12,"0,081","0,1","0,9983","8,3",45,"3,48",5,"2,6",0,"-165,3","0,78"
679,679,"16,6","0,06","0,45","0,9972","10,8",20,"3,13",5,"3,3","0,14","4,9","0,26"
680,680,12,"0,07","0,58","1,0004","13,3",15,"3,06",5,"1,9",0,-76,"0,43"
681,681,"14,2","0,094","0,23","0,9962",8,16,"3,21",6,"2,2","0,19","2,9","0,45"
682,682,"13,8","0,078","0,31","0,998","8,5",32,"3,33",5,"2,25","0,04","-110,2","0,46"
683,683,"18,3","0,059","0,23","0,997","8,1",5,"3,37",5,"2,6","0,26","1,5","0,78"
684,684,"15,4","0,078","0,32","0,998","9,8",35,"3,25",5,"2,3",0,"-288,8","0,98"
685,685,"18,3","0,059","0,23","0,997","8,1",5,"3,37",5,"2,6",0,"-13,5","0,78"
686,686,"13,1","0,07","0,18","0,997","7,1",13,"3,44",5,"1,8","0,1",44,"0,65"
687,687,"10,7","0,095","0,23","0,9998","9,1",13,"3,28",5,"3,1",0,"41,8","0,64"
688,688,"18,4","0,039","0,04","0,9962","7,7",4,"3,4",5,"1,6","0,07","-17,1","0,66"
689,689,"13,4","0,157","0,48","0,9976","8,1",5,"3,3",5,"1,8","0,75","1,7","0,38"
690,690,"19,7","0,097",0,"0,9966","7,4",5,"3,63",3,"4,25","0,24","15,4","1,185"
691,691,"13,8","0,087","0,24","0,9998","9,2",12,"3,48",5,"2,6","0,44","-83,7","0,92"
692,692,15,"0,422","0,51","0,9979","8,6",16,"3,03",5,2,"0,87","-117,8","0,49"
693,693,"16,4","0,084","0,32","0,9984",9,21,"3,32",5,"2,8","0,32","134,2","0,48"
694,694,"11,4","0,084","0,31","0,9984",9,24,"3,31",5,"2,7","0,31","137,5","0,47"
695,695,"18,8","0,034","0,02","0,9921","5,1",18,"3,9",6,"1,3","0,02","-83,6","0,47"
696,696,"10,5","0,066","0,02","0,9972",7,8,"3,47",6,"2,1","0,47","27,5","0,65"
697,697,"16,5","0,066","0,02","0,9972",7,8,"3,47",6,"2,1",0,"-22,5","0,65"
698,698,"11,7","0,087","0,28","1,0001","9,4",18,"3,31",5,"3,2",0,"7,2","0,615"
699,699,"14,8","0,071","0,55","0,9986","11,8",5,"3,11",6,"2,1","0,52","1,9","0,38"
