,Time,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
600,600,15,"0,088","0,27","0,9962","8,2",7,"3,26",4,"2,1","0,07","25,3","0,915"
601,601,12,"0,071","0,52","1,0006","13,2",12,"3,1",6,"2,2","0,46","-66,5","0,46"
602,602,"17,3","0,081",0,"0,9975","7,7",6,"3,3",5,"2,6",0,"-26,6","0,835"
603,603,16,"0,071","0,52","1,0006","13,2",12,"3,1",6,"2,2","0,16","3,5","0,46"
604,604,"13,1","0,096","0,13","0,9984","8,3",14,"3,17",6,"2,9","0,32","-56,7","0,58"
605,605,"12,2","0,085","0,13","0,9984","8,3",6,"3,31",6,"2,6","0,19","-45,6","0,6"
606,606,"15,2","0,072","0,48","0,9973","9,4",10,"3,34",7,"4,6","0,39",-18,"0,41"
607,607,"14,5","0,092","0,41","0,9982","8,8",26,"3,31",6,"3,3",0,"-98,8","0,48"
608,608,"19,4","0,11","0,37","1,0026","10,1",11,"3,32",6,"5,1","0,24","-123,5","0,65"
609,609,"15,7","0,075","0,19","0,9956","6,3",15,"3,56",6,"3,2",0,"3,9","0,36"
610,610,"10,2","0,083","0,54","0,9983","8,8",25,"3,39",5,"2,5","0,24","-108,3","0,24"
611,611,"13,4","0,081","0,55","1,0006","13,2",5,"2,98",5,"2,7",0,"1,6","0,38"
612,612,14,"0,077",0,"0,9965","7,5",18,"3,32",6,"2,4","0,3","-26,1","0,64"
613,613,"14,8","0,058","0,38","0,9962","8,2",10,"3,26",5,"1,5","0,54","31,9","0,39"
614,614,"17,2","0,148","0,18","0,9969","9,2",10,"2,87",6,"2,2","0,76","-92,7","0,755"
615,615,"18,7","0,079","0,5","0,9997","9,6",28,"3,5",5,"2,3","0,27","7,1","0,6"
616,616,"17,7","0,079","0,5","0,9997","9,6",28,"3,5",5,"2,3","0,07","78,1","0,6"
617,617,"11,8","0,079","0,51","0,9982","11,5",14,"3,03",6,"2,2","0,33","-25,2","0,31"
618,618,"11,2","0,122","0,5","1,0006","11,4",4,"3,13",5,"2,7","0,1","18,7","0,46"
619,619,"12,3","0,088","0,41","0,9988","11,3",6,"3,09",5,"2,3","0,1","-30,4","0,37"
620,620,"18,4","0,076","0,24","0,9976","8,3",16,"3,27",5,"3,4",0,"-212,8","0,54"
621,621,"12,4","0,078","0,23","0,9976","8,2",14,"3,28",5,"3,4",0,"-197,6","0,56"
622,622,"11,5","0,08","0,22","0,9974",10,9,"3,13",5,"1,9","0,35","-28,8","0,58"
623,623,"18,1","0,077","0,25","0,9974","7,9",21,"3,49",6,"2,9","0,76","-85,5","0,51"
624,624,"19,2","0,124",0,"0,9997","6,8",21,"3,46",5,"5,6",0,"-110,2","0,69"
625,625,"14,2","0,124",0,"0,9997","6,8",21,"3,46",5,"5,6","0,62","-52,2","0,69"
626,626,"17,1","0,098","0,29","0,9988","8,8",5,"3,36",5,"2,2",0,"1,5","0,6"
627,627,"13,1","0,098","0,29","0,9988","8,8",5,"3,36",5,"2,2",0,"16,5","0,6"
628,628,"10,3","0,097","0,26","0,9976","8,7",7,"3,27",6,"2,5","0,4","-27,9","0,54"
629,629,"18,3","0,111","0,23","0,9964","7,6",20,"3,21",5,"2,3",0,"8,4","0,685"
630,630,"18,3","0,097","0,26","0,9976","8,7",7,"3,27",6,"2,5","0,5","-58,9","0,54"
631,631,"10,5","0,105","0,54","0,9988","10,4",5,"3,25",5,"2,7",0,"1,9","0,28"
632,632,"13,5","0,087","0,14","0,9964","7,6",21,"3,32",6,3,0,"4,3","0,41"
633,633,"17,3","0,105","0,22","1,001","10,1",11,"3,43",4,"3,4",0,"8,6","0,935"
634,634,"18,5","0,073","0,21","0,9964","7,9",46,"3,27",5,"1,9","0,38","-193,8","0,35"
635,635,"18,7","0,065",0,"0,9954","8,7",24,"3,27",5,"1,4",0,"-29,7","0,84"
636,636,"12,4","0,086","0,28","0,9979","9,6",30,"3,24",5,"2,4",0,"-132,3","0,88"
637,637,"17,4","0,084","0,27","0,9978","9,5",31,"3,24",5,"2,3",0,"14,5","0,885"
638,638,"13,2","0,143","0,12","0,9964","7,7",7,"3,35",7,"2,2","0,35","25,3","0,915"
639,639,"12,3","0,067","0,35","0,997","8,9",25,"3,18",6,"1,9","0,96","62,7","0,29"
640,640,"13,4","0,071","0,45","0,9991","9,9",16,"3,39",5,"2,3","0,12",-36,"0,54"
641,641,"13,5","0,071","0,44","0,9992","9,5",21,"3,46",5,"2,3",0,"-129,2","0,59"
642,642,"15,4","0,071","0,45","0,9991","9,9",16,"3,39",5,"2,3",0,-36,"0,54"
643,643,"10,5","0,071","0,44","0,9992","9,5",21,"3,46",5,"2,3",0,"74,8","0,59"
644,644,"16,4","0,071","0,45","0,9991","9,9",16,"3,39",5,"2,3",0,4,"0,54"
645,645,"15,1","0,115","0,1","0,9984","7,8",5,"3,37",7,6,0,"12,1","0,64"
646,646,"15,1","0,107","0,05","0,9972","7,3",6,"3,4",5,"3,6","0,53",-38,"0,67"
647,647,20,"0,07","0,01","0,9967","8,3",5,"3,32",4,"2,2","0,28","-26,6","0,845"
648,648,"14,2","0,066","0,3","0,9964","8,7",10,"3,33",7,"2,8","0,47","30,8","0,48"
649,649,"13,3","0,068","0,27","0,9948","6,7",24,"3,16",6,"8,6","0,37","14,8","0,42"
