,Time,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
700,700,"19,1","0,076","0,43","0,9984","10,6",26,"3,08",6,"2,9","0,47","8,8","1,02"
701,701,"17,5","0,066","0,02","0,9972",7,8,"3,47",6,"2,1","0,57","2,5","0,65"
702,702,"18,4","0,067","0,02","0,997",7,9,"3,47",6,"2,1",0,"25,3","0,64"
703,703,"16,6","0,073","0,48","0,9972","7,5",22,"3,32",4,"2,6","0,2","-159,6","0,38"
704,704,"15,7","0,078","0,04","0,998","9,1",4,"3,29",4,"1,6",0,"1,4","0,765"
705,705,"13,9","0,073","0,15","0,999","8,4",11,"3,37",5,6,"0,29","59,4","1,035"
706,706,12,"0,093","0,08","0,9956",7,10,"3,4",5,2,"0,07","20,9","0,78"
707,707,"16,5","0,077","0,19","0,9966","7,4",16,"3,37",5,3,"0,41","-70,3","0,49"
708,708,"12,6","0,068","0,12","0,996","7,8",11,"3,34",6,"2,5","0,41","3,5","0,545"
709,709,16,"0,062","0,47","0,9983","9,7",13,"3,27",6,"1,6",0,"3,3","0,31"
710,710,"11,1","0,08","0,43","0,9985","10,6",21,"3,06",5,"2,8","0,07","-75,6","1,025"
711,711,"10,5","0,093","0,34","0,9998","8,9",16,"3,38",5,3,0,"-212,8","0,565"
712,712,"18,4","0,084",0,"0,9992","8,7",13,"3,36",5,"3,2","0,25","36,3","0,69"
713,713,"13,4","0,075","0,36","0,9976",8,10,"3,34",5,"2,3","0,16","52,8","0,43"
714,714,"14,8","0,078","0,28","0,998","9,9",21,"3,28",5,"2,6","0,11","7,7","0,74"
715,715,"16,2","0,069","0,18","0,9967","7,2",13,"3,29",6,"2,7","0,28","-30,6","0,49"
716,716,"15,4","0,075","0,36","0,9976",8,10,"3,34",5,"2,3",0,"-91,2","0,43"
717,717,14,"0,079","0,11","0,9968","7,6",12,"3,21",5,"2,6","0,37","53,9","0,46"
718,718,"10,6","0,082","0,04","0,9976","8,4",10,"3,22",5,2,0,"-19,8","0,56"
719,719,"13,5","0,086",0,"0,9976","7,1",17,"3,46",5,"3,9","0,14","-85,5","0,66"
720,720,"18,6","0,082","0,04","0,9976","8,4",10,"3,22",5,2,0,"24,2","0,56"
721,721,"14,2","0,094","0,24","0,9982","8,9",35,"3,1",5,"2,85",0,"10,6","0,48"
722,722,18,"0,084","0,08","0,9968","7,6",15,"3,21",5,"2,7",0,"4,8","0,42"
723,723,"13,5","0,053","0,3","0,9965","7,1",36,"2,94",5,"2,2","0,72","-114,3","0,31"
724,724,"15,2","0,086","0,1","0,9958","7,5",5,"3,54",4,"3,1",0,"-22,8","1,115"
725,725,"11,4","0,077","0,17","0,9976",9,5,"3,29",5,3,"0,15","14,3","0,66"
726,726,"13,1","0,084","0,09","0,9994","8,1",18,"3,43",6,"2,8","0,12","-44,1","0,72"
727,727,"18,5","0,067","0,02","0,997","6,4",4,"3,46",5,"1,8","0,18","-9,9","0,57"
728,728,"10,5","0,067","0,02","0,997","6,4",4,"3,46",5,"1,8","0,48","-20,9","0,57"
729,729,"19,7","0,071","0,03","0,995","6,4",27,"3,61",6,"3,2",0,"63,8","0,865"
730,730,"17,6","0,387","0,66","0,9982","9,5",12,"3,17",5,"2,3","0,57","-70,3","0,55"
731,731,"17,5","0,088","0,13","0,9994","8,9",4,"3,44",5,"3,45","0,32","-26,6","0,875"
732,732,"13,6","0,092","0,03","0,9966","7,3",10,"3,39",5,"2,1",0,"-36,1","0,835"
733,733,"14,5","0,082","0,34","0,998",7,16,"3,55",5,"2,7","0,3","-64,8","0,45"
734,734,"18,3","0,075","0,2","0,9987","7,7",9,"3,48",5,2,0,"-74,1","0,56"
735,735,"11,5","0,112","0,1","0,9963","7,7",11,"3,26",5,"2,1","0,4","-19,8","0,965"
736,736,"10,5","0,112","0,1","0,9963","7,7",11,"3,26",5,"2,1",0,"-19,8","0,965"
737,737,"14,3","0,093",0,"1,0002","8,2",19,"3,5",6,"2,5",0,"5,8","0,59"
738,738,"16,2","0,092","0,23","0,9983",9,28,"3,1",5,"2,8",0,"114,4","0,46"
739,739,"12,3","0,088",0,"0,999",9,19,"3,35",5,"2,4",0,"-72,2","0,69"
740,740,"18,5","0,075","0,29","0,9965","8,3",12,"3,45",6,"4,2","0,18","1,6","0,76"
741,741,"14,5","0,078","0,24","0,99788","9,2",28,"3,21",5,"2,6","0,47","-264,1","0,53"
742,742,"11,2","0,065",0,"0,9972","6,5",9,"3,46",5,"1,9",0,"1,8","0,615"
743,743,13,"0,096","0,58","1,00024","11,6",25,"3,13",5,"2,8","0,43","-90,9","0,41"
744,744,"11,5","0,095","0,54","1,0001","11,1",21,"3,13",5,"2,7",0,"-191,9","0,39"
745,745,"12,5","0,07","0,18","0,99768","7,3",12,"3,52",6,"2,1","0,33","-53,2","0,51"
746,746,12,"0,08","0,38","0,9978","8,2",12,"3,3",6,"2,5",0,"62,7","0,34"
747,747,"11,4","0,083","0,4","0,99782","8,6",16,"3,3",5,"2,6","0,28","-61,2","0,33"
748,748,"10,6","0,071","0,18","0,99761","7,2",12,"3,52",6,"2,1","0,32","-27,9","0,5"
749,749,"18,5","0,07","0,18","0,99768","7,3",12,"3,52",6,"2,1",0,"30,8","0,51"
