,Time,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
750,750,"11,5","0,089","0,1","0,99803","8,3",17,"3,29",5,"2,9",0,4,"0,65"
751,751,"17,5","0,089","0,1","0,99803","8,3",17,"3,29",5,"2,9","0,45",-36,"0,65"
752,752,"13,4","0,097","0,13","0,99785","7,6",24,"3,39",5,"2,5",0,"-125,4","0,54"
753,753,"17,5","0,089","0,1","0,99803","8,3",17,"3,29",5,"2,9","0,35",44,"0,65"
754,754,"12,1","0,415","0,68","0,99656","7,8",14,"3,09",6,"1,7","0,26","-60,8","0,48"
755,755,"13,7","0,058","0,07","0,99525","7,8",22,"3,51",6,"1,9","0,13","4,7","0,91"
756,756,"19,2","0,057","0,01","0,99488","6,3",15,"3,6",6,2,"0,16","-62,7","0,98"
757,757,"18,8","0,084",0,"0,99656","8,1",10,"3,25",5,"2,2",0,"-27,9","0,87"
758,758,"12,8","0,084",0,"0,99656","8,1",10,"3,25",5,"2,2",0,"-58,9","0,87"
759,759,"11,2","0,092","0,21","0,99823","8,8",33,"3,19",5,"2,5",0,"-79,2","0,42"
760,760,"10,7","0,075","0,25","0,99779",9,9,"3,23",5,"2,8",0,"10,4","0,58"
761,761,"11,6","0,096","0,26","0,99738","9,3",5,"3,25",5,2,0,"3,5","0,655"
762,762,12,"0,069",0,"0,99701","8,8",8,"3,31",6,"1,7","0,23","1,9","0,7"
763,763,"14,6","0,096","0,26","0,99738","9,3",5,"3,25",5,2,0,"-31,5","0,655"
764,764,"11,5","0,093","0,11","0,99888","9,1",11,"3,31",6,"2,8","0,05","-83,6","0,68"
765,765,"12,5","0,091","0,1","0,99888","9,2",12,"3,31",6,3,"0,24","-43,2","0,67"
766,766,"13,4","0,089","0,18","0,99738","8,8",12,"3,14",5,"2,9","0,34","-140,6","0,59"
767,767,"18,5","0,103","0,32","0,99938","7,5",13,"3,45",5,"2,7",0,"107,8","0,6"
768,768,"13,7","0,082","0,02","0,99744","7,1",24,"3,55",6,"2,3",0,"103,4","0,59"
769,769,"18,6","0,076","0,01","0,99668","7,9",7,"3,39",5,"1,9",0,"-60,8","0,72"
770,770,"13,7","0,082","0,02","0,99744","7,1",24,"3,55",6,"2,3",0,"9,4","0,59"
771,771,"11,4","0,082","0,26","0,9978","9,4",23,"3,28",5,"2,4","0,35","-128,7","0,685"
772,772,"13,4","0,082","0,27","0,99782","9,5",23,"3,27",5,"2,3","0,15","-273,6","0,57"
773,773,"11,5","0,157","0,29","0,9973","7,9",1,"3,3",6,"1,8","0,22","-83,6","0,4"
774,774,"11,5","0,157","0,3","0,99727","7,9",2,"3,31",6,"1,8","0,81","-85,5","0,4"
775,775,17,"0,102",0,"0,99586","7,2",7,"3,43",5,3,0,"17,6",1
776,776,"11,3","0,243","0,18","0,99612","6,9","5,5","3,4",6,"2,4","0,5","-43,2","0,765"
777,777,"11,3","0,241","0,17","0,9961","6,9",6,"3,4",6,"2,4",0,"-16,2","0,635"
778,778,"12,5","0,079","0,3","0,99788","8,3",7,"3,36",5,"3,4",0,"-30,6","0,43"
779,779,"18,8","0,076","0,03","0,99745","7,1",21,"3,5",5,"2,6","0,4","9,2","0,52"
780,780,"16,4","0,19",0,"0,99676",7,12,"3,31",6,2,"0,3","49,5","0,57"
781,781,"18,8","0,114","0,14","0,99732","6,5",9,"3,66",5,"2,4","0,05","40,7","0,46"
782,782,16,"0,081","0,05","0,99814",9,26,"3,36",5,"2,4",0,"105,6","0,82"
783,783,"18,8","0,114","0,14","0,99732","6,5",9,"3,66",5,"2,4","0,05","3,7","0,46"
784,784,"17,8","0,077","0,01","0,99746","7,1",20,"3,55",5,"2,5","0,09","-76,5","0,59"
785,785,"17,5","0,083","0,41","0,9982","9,9",11,"3,21",5,"2,3",0,"6,1","0,35"
786,786,"12,5","0,083","0,41","0,9982","9,9",11,"3,21",5,"2,3",0,"-54,9","0,35"
787,787,"13,1","0,079","0,24","0,9991",10,19,"3,18",6,"2,2","0,46","5,8","0,56"
788,788,"15,1","0,079","0,24","0,9991",10,19,"3,18",6,"2,2",0,"63,8","0,56"
789,789,"18,3","0,099","0,17","0,998","8,6",21,"3,09",5,"2,9",0,"11,9","0,63"
790,790,"15,7","0,082","0,43","0,99708","7,4",18,"3,33",6,"2,6",0,"90,2","0,37"
791,791,"13,6","0,084","0,17","0,99818","8,8",25,"3,23",5,"2,9",0,-117,"0,64"
792,792,"10,7","0,081","0,02","0,99745","7,1",17,"3,48",6,"2,5","0,4","-78,3","0,61"
793,793,"16,8","0,055",0,"0,99639","7,7",7,"3,38",5,"2,6",0,"-11,7","0,6"
794,794,"16,5","0,065","0,54","0,99531","10,1",7,"3,17",6,"2,3","0,13","-23,4","0,27"
795,795,"15,2","0,132","0,3","0,99786","10,8",7,"2,99",5,"2,6","0,38",6,"0,89"
796,796,"18,6","0,126","0,31","0,99746","8,7",24,"3,1",5,"2,5","0,34","-121,6","0,46"
797,797,"18,8","0,038","0,44","0,99526","9,3",21,"3,24",7,"1,6","0,21","46,2","0,37"
798,798,"15,7","0,082","0,34","0,9987","9,4",5,"3,29",6,"3,6","0,02","15,4","0,5"
799,799,"19,7","0,082","0,34","0,9987","9,4",5,"3,29",6,"3,6","0,32","1,4","0,5"
