,Time,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
1300,1300,"15,5","0,08",0,"0,99444","5,2",15,"3,78",6,"2,15","0,9","-25,2","0,645"
1301,1301,"14,7","0,1","0,07","0,99598","6,7",20,"3,6",6,2,"1,14","-51,3","0,86"
1302,1302,"10,2","0,064","0,32","0,99576","9,1",4,"3,3",6,"2,1","0,4","-13,5","0,37"
1303,1303,"6,2","0,081","0,44","0,99501",8,28,"3,36",5,"1,8","0,76","-129,2","0,28"
1304,1304,"11,2","0,087","0,21","0,9955","7,6",21,"3,12",5,"2,3","0,64","-129,2","0,79"
1305,1305,"12,8","0,073","0,26","0,99612","7,5",24,"3,3",5,"1,9","1,13","-79,2","0,61"
1306,1306,"9,1","0,088","0,32","0,9979","9,7",22,"3,29",5,"2,5","0,62","9,1","0,69"
1307,1307,"13,1","0,068","0,09","0,99524","6,8",15,"3,41",4,"3,9","0,32","31,9","0,68"
1308,1308,"11,1","0,088","0,32","0,9979","9,7",22,"3,29",5,"2,5","1,22","9,1","0,69"
1309,1309,"11,2","0,071","0,1","0,996",7,27,"3,28",5,"1,4","0,41","69,3","0,62"
1310,1310,"10,8","0,073","0,26","0,99612","7,5",24,"3,3",5,"1,9","0,3","8,8","0,61"
1311,1311,"14,8","0,064","0,15","0,9929","6,5",12,"3,33",6,3,"0,8","-51,3","0,51"
1312,1312,"7,5","0,083","0,21","0,99532",8,14,"3,34",5,"1,9","0,9","45,1","1,18"
1313,1313,"17,1","0,086","0,21","0,99558",7,20,"3,4",6,"2,3","0,84","-123,5","0,36"
1314,1314,"16,1","0,086","0,21","0,99556",7,24,"3,4",6,"2,4","0,53","-62,1","0,36"
1315,1315,"4,8","0,083","0,27","0,99616","7,5",17,"3,26",6,2,"1,08","-81,9","0,63"
1316,1316,"13,5","0,041",0,"0,99258","5,4",16,"4,01",6,"1,2","0,49","50,6","0,74"
1317,1317,"14,9","0,091","0,46","0,99638","9,9",10,"3,18",6,"2,2","0,8","4,1","0,44"
1318,1318,"6,8","0,083","0,27","0,99616","7,5",17,"3,26",6,2,"0,2","9,1","0,63"
1319,1319,"9,1","0,414","0,68","0,99652","9,1",18,"2,9",6,"1,7","0,93","-57,6","0,76"
1320,1320,"14,1","0,094","0,34","0,99796","9,7",12,"3,26",5,"2,6","0,96","96,8","0,66"
1321,1321,"14,5","0,041",0,"0,99258",5,16,"4,01",6,"1,2","1,29","50,6","0,74"
1322,1322,"6,4","0,058","0,42","0,99392","9,1",9,"3,18",5,"1,8","1,25","19,8","0,34"
1323,1323,8,"0,06","0,39","0,99495","9,1",21,"3,18",7,"1,8","0,6","60,5","0,36"
1324,1324,"10,6","0,077","0,24","0,9948","6,7",18,"3,39",6,"1,7","0,5","3,4","0,46"
1325,1325,"6,6","0,077","0,24","0,9948","6,7",18,"3,39",6,"1,7","0,8","-64,6","0,46"
1326,1326,"12,6","0,077","0,24","0,9948","6,7",18,"3,39",6,"1,7","0,9","37,4","0,46"
1327,1327,"3,6","0,077","0,24","0,9948","6,7",18,"3,39",6,"1,7","0,5","-30,6","0,46"
1328,1328,"3,3","0,073","0,11","0,9955","6,5",13,"3,34",5,"1,8","0,7","-72,2","0,52"
1329,1329,"9,8","0,083","0,26","0,99616","7,4",17,"3,29",6,"2,1","0,7","-172,9","0,6"
1330,1330,"10,8","0,083","0,26","0,99616","7,4",17,"3,29",6,"2,1","1,26","9,1","0,6"
1331,1331,"10,2","0,107","0,26","0,99668","7,8",31,"3,26",5,"3,8","0,7","-127,3","0,87"
1332,1332,"9,7","0,075","0,1","0,99581","8,4",6,"3,09",6,"1,7","0,73","2,5","0,39"
1333,1333,"13,6","0,079","0,22","0,9976","9,1",12,"3,18",5,"2,2","1,21","4,8","0,775"
1334,1334,6,"0,166",0,"0,99608","7,2",4,"3,39",5,2,"0,72","-9,9","0,835"
1335,1335,"12,6","0,069","0,02","0,99387","6,6",19,"3,38",6,"2,4","0,56",-36,"0,58"
1336,1336,"8,5","0,057",0,"0,99448",6,15,"3,36",5,"1,4","0,8","-23,4","0,5"
1337,1337,"9,5","0,057",0,"0,99448",6,15,"3,36",5,"1,4","1,25","28,6","0,5"
1338,1338,"7,5","0,057",0,"0,99448",6,15,"3,36",5,"1,4","0,8","-49,4","0,5"
1339,1339,"8,5","0,084","0,02","0,99538","7,5",13,"3,36",6,"1,7","0,9","-27,9","0,51"
1340,1340,"5,5","0,084","0,02","0,99538","7,5",13,"3,36",6,"1,7","0,54","-27,9","0,51"
1341,1341,"15,5","0,084","0,02","0,99538","7,5",13,"3,36",6,"1,7","0,5","-27,9","0,51"
1342,1342,"8,4","0,085","0,02","0,99589","7,6",17,"3,37",6,"1,7","0,21","34,1","0,54"
1343,1343,"7,5","0,084","0,02","0,99538","7,5",13,"3,36",6,"1,7","0,84","3,1","0,51"
1344,1344,19,"0,077","0,48","0,99852","11,5",8,"3,09",5,"2,6","0,8",22,"0,42"
1345,1345,"3,2","0,063","0,24","0,99613","8,2",10,"3,25",6,"2,3","0,9","-25,2","0,44"
1346,1346,"5,4","0,056","0,01","0,99472","6,1",5,"3,52",5,"2,1","0,7","1,3","0,59"
1347,1347,"17,5","0,078","0,03","0,99587","7,2",7,"3,34",5,"1,8","0,7","13,2","0,655"
1348,1348,"10,5","0,078","0,03","0,99587","7,2",7,"3,34",5,"1,8","0,2","-22,8","0,655"
1349,1349,"7,8","0,081",0,"0,99518","6,9",21,"3,41",5,"2,8","1,22","4,1","0,57"
