,Time,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
1400,1400,"3,9","0,08","0,21","0,9962","7,9",33,"3,25",5,"2,1","0,6","-126,9","0,69"
1401,1401,"7,9","0,08","0,21","0,9962","7,9",33,"3,25",5,"2,1","1,01","14,1","0,69"
1402,1402,"15,9","0,052","0,42","0,9963","7,6",6,"3,44",6,2,"1,12","26,4","0,3"
1403,1403,4,"0,061","0,33","0,996","7,2",3,"3,23",8,"1,7","1,2","14,3","0,33"
1404,1404,"11,7","0,082","0,39","0,9985",8,12,"3,43",6,"2,6","0,2","50,6","0,5"
1405,1405,"10,3","0,062","0,3","0,9952","7,7",18,"3,28",7,2,"1,2","-30,6","0,28"
1406,1406,"8,9","0,062","0,34","0,9974","8,2",8,"3,22",6,"5,1","0,94","2,2","0,24"
1407,1407,"13,7","0,064",0,"0,995",6,40,"3,54",6,"2,1","0,53","-48,6","0,51"
1408,1408,"13,4","0,048","0,36","0,995","8,1",35,"3,27",7,"2,2","0,41","58,3","0,29"
1409,1409,"13,7","0,064",0,"0,995",6,40,"3,54",6,"2,1","0,93","-48,6","0,51"
1410,1410,"15,9","0,082",0,"0,9936","6,6",5,"3,5",6,"1,8","0,44","-14,4","0,96"
1411,1411,"7,6","0,071","0,4","0,9963","6,4",8,"3,56",6,"2,4","0,9","-17,1","0,47"
1412,1412,"9,9","0,062","0,34","0,9974","8,2",8,"3,22",6,"5,1","1,74","-41,8","0,24"
1413,1413,"16,1","0,104","0,25","0,9963","9,9",12,"3,04",5,2,"0,3","-169,1","0,57"
1414,1414,"12,6","0,077","0,59","0,9994",10,3,"3,2",5,"2,2","0,48","-28,5","0,32"
1415,1415,"12,4","0,065",0,"0,9966","6,2",8,"3,56",5,"1,6","0,64","-34,2","0,58"
1416,1416,"5,6","0,077","0,59","0,9994",10,3,"3,2",5,"2,2","0,1","-28,5","0,32"
1417,1417,"11,1","0,064","0,33","0,9952","7,3",21,"3,35",7,"2,5","1,27","-33,3","0,34"
1418,1418,"6,8","0,077","0,01","0,995","7,8",3,"3,16",5,"1,6","0,66","1,9","0,53"
1419,1419,"17,9","0,077","0,21","0,9956","7,7",32,"3,27",5,"2,2","0,2","-119,7","0,64"
1420,1420,"14,8","0,077","0,01","0,995","7,8",3,"3,16",5,"1,6","0,5","-36,1","0,53"
1421,1421,"7,4","0,079","0,18","0,9965","7,5",24,"3,34",5,"1,6","1,18","-52,2","0,4"
1422,1422,"7,4","0,079",0,"0,9956",7,39,"3,39",6,"2,1","0,54","60,5","0,54"
1423,1423,13,"0,123","0,09","0,9968","6,4",14,"3,5",4,"3,9","0,67","-27,9","0,53"
1424,1424,"9,6","0,076","0,37","0,9974","8,3",8,"3,26",6,"1,4","0,6","-20,7","0,26"
1425,1425,"3,6","0,076","0,37","0,9974","8,3",8,"3,26",6,"1,4","1,1","-20,7","0,26"
1426,1426,"16,1","0,046","0,37","0,9971","7,7",23,"3,41",6,"1,8","0,61",66,"0,23"
1427,1427,"4,2","0,078","0,33","0,9957","7,6",6,"3,3",5,"2,5","0,68","2,3","0,41"
1428,1428,8,"0,072",0,"0,9962","7,8",27,"3,31",5,"1,9","0,43","-104,5","0,64"
1429,1429,"9,3","0,049","0,4","0,996","7,9",38,"3,33",5,"2,2","0,83","73,7","0,18"
1430,1430,"12,4","0,066","0,24","0,9956","7,4",18,"3,37",5,"1,8","0,2","-89,3","0,41"
1431,1431,"11,9","0,069","0,31","0,9958","7,6",13,"3,26",6,"2,1","0,9","81,4","0,43"
1432,1432,"19,7","0,042",0,"0,9944","5,9",3,"3,48",6,"1,6","1,35","12,1","0,44"
1433,1433,"11,1","0,069","0,16","0,9955","6,1",11,"3,42",7,"1,8","1,14","27,5","0,4"
1434,1434,11,"0,214","0,37","1,00369","10,2",55,"3,18",6,"15,4","0,37","9,5","0,54"
1435,1435,7,"0,214","0,37","1,00369","10,2",55,"3,18",6,"15,4","0,7","-180,5","0,54"
1436,1436,"2,5","0,169","0,38","0,99914",10,27,"3,15",5,"1,6","0,9",-171,"0,38"
1437,1437,"8,1","0,07","0,29","0,99577","6,8",15,"3,53",5,"4,8","1,34","-35,1","0,915"
1438,1438,"10,3","0,052",0,"0,996",7,3,"3,41",5,"1,7","0,67","8,8","0,59"
1439,1439,"16,06666667","0,072","0,02","0,99566","7,3",31,"3,32",6,"2,2","0,68","-82,8","0,67"
1440,1440,"16,3","0,062","0,32","0,9947","7,2",15,"3,23",7,2,"0,23","30,8","0,37"
1441,1441,"4,566666667","0,094","0,19","0,99713","7,4",19,"3,16",6,"5,2","0,5","-88,2","0,785"
1442,1442,"8,8","0,078","0,02","0,99712","6,9",18,"3,4",5,"1,9","0,45",33,"0,63"
1443,1443,"7,7","0,058","0,2","0,99322","6,9",8,"3,38",5,"1,75","0,8","-19,8","0,58"
1444,1444,"16,1","0,072","0,02","0,99566","7,3",31,"3,32",6,"2,2","0,2","101,2","0,67"
1445,1445,"3,6","0,094","0,19","0,99713","7,4",19,"3,16",6,"5,2","1,12","-186,2","0,785"
1446,1446,"4,8","0,078","0,02","0,99712","6,9",18,"3,4",5,"1,9","0,35",33,"0,63"
1447,1447,"15,7","0,08",0,"0,99701","6,8",22,"3,4",5,"1,9","0,54","3,9","0,67"
1448,1448,"6,7","0,08","0,01","0,99683","6,9",40,"3,4",5,"1,9","0,23","59,4","0,58"
1449,1449,"19,3","0,056","0,31","0,99472","7,2",15,"3,23",8,2,"0,76","31,9","0,38"
